preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
stemming,BM25,111,0.3,0.42857142857142855,0.3529411764705882,0.32660680474345066,0.5,0.28074417687026526
stemming,Vetorial (TF-IDF),112,0.1,0.5,0.16666666666666669,0.28448275862068967,0.5,0.23981246656813146
stemming,BM25,112,0.1,0.5,0.16666666666666669,0.2934782608695652,0.5,0.23981246656813146
stemming,Vetorial (TF-IDF),113,0.0,0.0,0.0,0.0457592775592074,0.05263157894736842,0.0
stemming,BM25,113,0.1,0.25,0.14285714285714288,0.1341236691236691,0.3333333333333333,0.19519002499605084
stemming,Vetorial (TF-IDF),114,0.2,0.5,0.28571428571428575,0.119526060296372,0.2,0.31240307581599036
stemming,BM25,114,0.1,0.25,0.14285714285714288,0.07466989241172814,0.125,0.16273360041832377
stemming,Vetorial (TF-IDF),115,0.0,0.0,0.0,0.011834858022573135,0.022727272727272728,0.0
stemming,BM25,115,0.1,0.25,0.14285714285714288,0.04768379893105049,0.14285714285714285,0.15814112524003557
stemming,Vetorial (TF-IDF),116,0.1,0.2,0.13333333333333333,0.04827961652001493,0.16666666666666666,0.09486127395381615
stemming,BM25,116,0.1,0.2,0.13333333333333333,0.07781038322056319,0.3333333333333333,0.13315463217345028
stemming,Vetorial (TF-IDF),117,0.0,0.0,0.0,0.025213675213675214,0.03333333333333333,0.0
stemming,BM25,117,0.0,0.0,0.0,0.031818181818181815,0.030303030303030304,0.0
stemming,Vetorial (TF-IDF),118,0.1,0.3333333333333333,0.15384615384615383,0.21580594679186227,0.5,0.3597186998521971
stemming,BM25,118,0.2,0.6666666666666666,0.30769230769230765,0.225,0.25,0.39258655345796484
stemming,Vetorial (TF-IDF),119,0.1,1.0,0.18181818181818182,1.0,1.0,1.0
stemming,BM25,119,0.1,1.0,0.18181818181818182,1.0,1.0,1.0
stemming,Vetorial (TF-IDF),120,0.5,0.5555555555555556,0.5263157894736842,0.5133299815652758,0.5,0.5627510813728639
