k1,b,query_id,ap,precision_at_10,ndcg_at_10
0.5,0.75,60,0.34711864406779663,0.3,0.40567263115233965
0.5,0.75,61,0.4728395061728395,0.3,0.5744381400037909
0.5,0.75,62,0.025477071827454158,0.0,0.0
0.5,0.75,63,0.04455836712933874,0.0,0.0
0.5,0.75,64,0.5196078431372549,0.1,0.6787956981029196
0.5,0.75,65,0.157783084137833,0.2,0.22931875699409868
0.5,0.75,66,0.07051802539197496,0.1,0.14195578371863898
0.5,0.75,67,0.32913210891466255,0.5,0.4790190708389341
0.5,0.75,68,0.05705345379258422,0.1,0.1372199289207067
0.5,0.75,69,0.039954015900673594,0.1,0.12143888304042887
0.5,0.75,70,0.09010320568596111,0.2,0.1319558735644914
0.5,0.75,71,0.06512823521963418,0.1,0.140239840552797
0.5,0.75,72,0.12096626517419959,0.1,0.282274472651798
0.5,0.75,73,0.3689129692276029,0.7,0.7275866923435964
0.5,0.75,74,0.15371338116765512,0.2,0.2237442475056458
0.5,0.75,75,0.02095561269108916,0.0,0.0
0.5,0.75,76,0.1485925656341567,0.2,0.25733108077214784
0.5,0.75,77,0.34518853102906516,0.2,0.2583214668631552
0.5,0.75,78,0.7222222222222222,0.3,0.8005562232320607
0.5,0.75,79,0.03974561386326093,0.0,0.0
0.5,0.75,80,0.010175700892374736,0.0,0.0
0.5,0.75,81,0.75,0.2,0.5879394370415081
0.5,0.75,82,0.2039009661835749,0.3,0.38378910149772333
0.5,0.75,83,0.1583252953942609,0.1,0.24630238874072996
0.5,0.75,84,0.3993980720446752,0.4,0.36622002329898773
0.5,0.75,85,0.2618432092646812,0.1,0.2579266542703838
0.5,0.75,86,0.5833333333333333,0.2,0.6934264036172708
0.5,0.75,87,0.011225996857711648,0.0,0.0
0.5,0.75,88,0.6496031746031746,0.6,0.7097158896509913
0.5,0.75,89,0.20152270210409742,0.2,0.28612526032148533
0.5,0.75,90,0.17339453767172447,0.2,0.1083259763160482
0.5,0.75,91,0.4030198662274134,0.4,0.5918856540709533
0.5,0.75,92,0.42237464358523813,0.6,0.3418017883465677
0.5,0.75,93,0.5,0.1,0.6309297535714575
0.5,0.75,94,0.5568537568731068,0.6,0.5280981838915715
0.5,0.75,95,0.3666666666666667,0.2,0.44211666725438137
0.5,0.75,96,0.4477745147296682,0.7,0.5592958824855743
0.5,0.75,97,0.19588450136403224,0.3,0.2764582536639236
0.5,0.75,98,0.020966123733154117,0.0,0.0
0.5,0.75,99,0.29411764705882354,0.2,0.471535652823272
0.5,0.75,100,0.2567564435673656,0.3,0.37635689400921835
0.5,0.75,101,0.6646825396825397,0.5,0.7730534630646193
0.5,0.75,102,0.18584656084656084,0.2,0.24093006600948313
0.5,0.75,103,0.05555555555555555,0.1,0.18457569677956817
0.5,0.75,104,0.1739683433181885,0.1,0.21398626473452756
0.5,0.75,105,0.5434234234234234,0.3,0.7422329748991158
0.5,0.75,106,0.541311612364244,0.3,0.7173999241783239
0.5,0.75,107,0.29405007195185767,0.3,0.3649522623246429
0.5,0.75,108,0.8090659340659341,0.5,0.7765927192533882
0.5,0.75,109,0.04198071041495259,0.0,0.0
0.5,0.75,110,0.08607655502392343,0.1,0.21657286422614114
0.5,0.75,111,0.2797924297924298,0.2,0.20121223985348807
0.5,0.75,112,0.3,0.1,0.23981246656813146
0.5,0.75,113,0.07466902030008826,0.0,0.0
0.5,0.75,114,0.066871620443049,0.1,0.19955930053022208
0.5,0.75,115,0.05152017545340694,0.1,0.16899301616355156
0.5,0.75,116,0.04695872381900484,0.1,0.08876975478230018
0.5,0.75,117,0.03398617511520737,0.0,0.0
0.5,0.75,118,0.2528478057889823,0.2,0.4321106657033608
0.5,0.75,119,1.0,0.1,1.0
0.5,0.75,120,0.35321895206537685,0.3,0.3769377685544826
0.5,0.75,121,0.5126941533918278,0.5,0.5976620396026832
0.5,0.75,122,0.29725274725274725,0.5,0.2791877113120418
0.5,0.75,123,0.07941176470588235,0.0,0.0
0.5,0.75,124,0.004057166770071575,0.0,0.0
0.5,0.75,125,0.24317385332137031,0.3,0.4090307868171935
0.5,0.75,126,0.15668537237569288,0.2,0.35571812677402137
0.5,0.75,127,0.11336984679150322,0.1,0.1283624763817471
0.5,0.75,128,0.014098505484797172,0.0,0.0
0.5,0.75,129,0.39338550294168045,0.4,0.5311527789860895
0.5,0.75,130,0.38373134328358205,0.2,0.45825661733967094
0.5,0.75,131,0.2805746336996337,0.2,0.1046347043286389
0.5,0.75,132,0.6890208550566607,0.6,0.4485379408925873
0.5,0.75,133,0.445419659705374,0.3,0.49572319896963557
0.5,0.75,134,0.26515151515151514,0.1,0.2960819109658652
0.5,0.75,135,0.5219433344433344,0.4,0.38703827668949514
0.5,0.75,136,0.46883468834688347,0.2,0.8490093211811799
0.5,0.75,137,0.2053030303030303,0.2,0.30049408259649085
0.5,0.75,138,0.15,0.1,0.2640681225725909
0.5,0.75,139,0.010181264923896129,0.0,0.0
0.5,0.75,140,0.19292356235009508,0.2,0.40473284377758784
0.5,0.75,141,0.17867596859532342,0.1,0.17522794594893776
0.5,0.75,142,0.07692307692307693,0.0,0.0
0.5,0.75,143,0.6428571428571428,0.2,0.8175295903539445
0.5,0.75,144,0.29133454106280193,0.4,0.41325664711838583
0.5,0.75,145,0.17612595737595735,0.2,0.18545537894730593
0.5,0.75,146,0.8333333333333333,0.2,0.7601875334318685
0.5,0.75,147,0.28755771715190925,0.4,0.43352529288116637
0.5,0.75,148,0.17863684728836318,0.2,0.31944460674615827
0.5,0.75,149,0.33230152094147924,0.3,0.3647442587311445
0.5,0.75,150,0.8333333333333333,0.2,0.9197207891481876
0.5,0.75,151,0.02712936240903151,0.0,0.0
0.5,0.75,152,0.01615912182916009,0.0,0.0
0.5,0.75,153,0.3252226210177165,0.3,0.3325382819409276
0.5,0.75,154,0.6666666666666666,0.2,0.7200194084720598
0.5,0.75,155,0.13698752228163993,0.1,0.1420364328899563
0.5,0.75,156,0.49496882810425086,0.7,0.5323811137191929
0.5,0.75,157,0.30739817284844145,0.3,0.37073340571389557
0.5,0.75,158,0.35412196499153015,0.2,0.5347363368441794
0.5,0.75,159,0.06565663316944534,0.1,0.04346365262877979
0.5,0.75,160,0.1202781232672537,0.1,0.24842742676916893
0.5,0.75,161,0.5257351174361719,0.3,0.7193068819147438
0.5,0.75,162,0.308187314399444,0.2,0.254116659944446
0.5,0.75,163,0.26883468834688345,0.2,0.41618115554873086
